model_family,outcome,fold_id,participant_id,trial_id,y_true,y_pred,abs_error
modulation_only,envelope_plv,fold_0,p02,t003,0.19,0.15,0.04000000000000001
modulation_only,envelope_plv,fold_1,p03,t004,0.15,0.10630486607768896,0.04369513392231103
legacy_v1,envelope_plv,fold_0,p01,t001,0.21,0.15,0.06
legacy_v1,envelope_plv,fold_0,p01,t002,0.31,0.15,0.16
legacy_v1,envelope_plv,fold_0,p02,t003,0.19,0.15,0.04000000000000001
legacy_v1,envelope_plv,fold_1,p03,t004,0.15,0.13592057761732845,0.014079422382671541
candidate_v2,envelope_plv,fold_0,p01,t001,0.21,0.15,0.06
candidate_v2,envelope_plv,fold_0,p01,t002,0.31,0.15,0.16
candidate_v2,envelope_plv,fold_0,p02,t003,0.19,0.15,0.04000000000000001
candidate_v2,envelope_plv,fold_1,p03,t004,0.15,0.17320116538289268,0.023201165382892686
acoustic_only,assr_plv,fold_0,p01,t001,0.08,0.05,0.03
acoustic_only,assr_plv,fold_0,p01,t002,0.19,0.05,0.14
acoustic_only,assr_plv,fold_0,p02,t003,0.07,0.05,0.020000000000000004
acoustic_only,assr_plv,fold_1,p03,t004,0.05,1.8099999999999028,1.7599999999999028
modulation_only,assr_plv,fold_0,p01,t001,0.08,0.05,0.03
modulation_only,assr_plv,fold_0,p01,t002,0.19,0.05,0.14
modulation_only,assr_plv,fold_0,p02,t003,0.07,0.05,0.020000000000000004
modulation_only,assr_plv,fold_1,p03,t004,0.05,-0.021818118076006143,0.07181811807600615
legacy_v1,assr_plv,fold_0,p01,t001,0.08,0.05,0.03
legacy_v1,assr_plv,fold_0,p01,t002,0.19,0.05,0.14
legacy_v1,assr_plv,fold_0,p02,t003,0.07,0.05,0.020000000000000004
legacy_v1,assr_plv,fold_1,p03,t004,0.05,0.014151624548736419,0.035848375451263584
candidate_v2,assr_plv,fold_0,p01,t001,0.08,0.05,0.03
candidate_v2,assr_plv,fold_0,p01,t002,0.19,0.05,0.14
candidate_v2,assr_plv,fold_0,p02,t003,0.07,0.05,0.020000000000000004
candidate_v2,assr_plv,fold_1,p03,t004,0.05,0.0470915146832975,0.0029084853167025
acoustic_only,vigilance_accuracy,fold_0,p01,t001,0.89,0.84,0.050000000000000044
acoustic_only,vigilance_accuracy,fold_0,p01,t002,0.91,0.84,0.07000000000000006
acoustic_only,vigilance_accuracy,fold_0,p02,t003,0.86,0.84,0.020000000000000018
acoustic_only,vigilance_accuracy,fold_1,p03,t004,0.84,1.2805357142856764,0.4405357142856764
modulation_only,vigilance_accuracy,fold_0,p01,t001,0.89,0.84,0.050000000000000044
modulation_only,vigilance_accuracy,fold_0,p01,t002,0.91,0.84,0.07000000000000006
modulation_only,vigilance_accuracy,fold_0,p02,t003,0.86,0.84,0.020000000000000018
modulation_only,vigilance_accuracy,fold_1,p03,t004,0.84,0.8427268265320432,0.0027268265320432583
legacy_v1,vigilance_accuracy,fold_0,p01,t001,0.89,0.84,0.050000000000000044
legacy_v1,vigilance_accuracy,fold_0,p01,t002,0.91,0.84,0.07000000000000006
legacy_v1,vigilance_accuracy,fold_0,p02,t003,0.86,0.84,0.020000000000000018
legacy_v1,vigilance_accuracy,fold_1,p03,t004,0.84,0.8412996389891697,0.001299638989169738
candidate_v2,vigilance_accuracy,fold_0,p01,t001,0.89,0.84,0.050000000000000044
candidate_v2,vigilance_accuracy,fold_0,p01,t002,0.91,0.84,0.07000000000000006
candidate_v2,vigilance_accuracy,fold_0,p02,t003,0.86,0.84,0.020000000000000018
candidate_v2,vigilance_accuracy,fold_1,p03,t004,0.84,0.8662380620919948,0.026238062091994863
acoustic_only,reaction_time_ms,fold_0,p01,t001,415.0,440.0,25.0
acoustic_only,reaction_time_ms,fold_0,p01,t002,402.0,440.0,38.0
acoustic_only,reaction_time_ms,fold_0,p02,t003,432.0,440.0,8.0
acoustic_only,reaction_time_ms,fold_1,p03,t004,440.0,167.89285714288053,272.10714285711947
modulation_only,reaction_time_ms,fold_0,p01,t001,415.0,440.0,25.0
modulation_only,reaction_time_ms,fold_0,p01,t002,402.0,440.0,38.0
modulation_only,reaction_time_ms,fold_0,p02,t003,432.0,440.0,8.0
modulation_only,reaction_time_ms,fold_1,p03,t004,440.0,443.1762024961436,3.176202496143617
legacy_v1,reaction_time_ms,fold_0,p01,t001,415.0,440.0,25.0
legacy_v1,reaction_time_ms,fold_0,p01,t002,402.0,440.0,38.0
legacy_v1,reaction_time_ms,fold_0,p02,t003,432.0,440.0,8.0
legacy_v1,reaction_time_ms,fold_1,p03,t004,440.0,443.39711191335743,3.397111913357435
candidate_v2,reaction_time_ms,fold_0,p01,t001,415.0,440.0,25.0
candidate_v2,reaction_time_ms,fold_0,p01,t002,402.0,440.0,38.0
candidate_v2,reaction_time_ms,fold_0,p02,t003,432.0,440.0,8.0
candidate_v2,reaction_time_ms,fold_1,p03,t004,440.0,428.8681278147626,11.131872185237398
acoustic_only,comfort_rating,fold_0,p01,t001,6.5,6.9,0.40000000000000036
acoustic_only,comfort_rating,fold_0,p01,t002,6.1,6.9,0.8000000000000007
acoustic_only,comfort_rating,fold_0,p02,t003,5.8,6.9,1.1000000000000005
acoustic_only,comfort_rating,fold_1,p03,t004,6.9,2.194642857142611,4.705357142857389
modulation_only,comfort_rating,fold_0,p01,t001,6.5,6.9,0.40000000000000036
modulation_only,comfort_rating,fold_0,p01,t002,6.1,6.9,0.8000000000000007
modulation_only,comfort_rating,fold_0,p02,t003,5.8,6.9,1.1000000000000005
modulation_only,comfort_rating,fold_1,p03,t004,6.9,6.118756135184406,0.7812438648155942
legacy_v1,comfort_rating,fold_0,p01,t001,6.5,6.9,0.40000000000000036
legacy_v1,comfort_rating,fold_0,p01,t002,6.1,6.9,0.8000000000000007
legacy_v1,comfort_rating,fold_0,p02,t003,5.8,6.9,1.1000000000000005
legacy_v1,comfort_rating,fold_1,p03,t004,6.9,5.7797833935018055,1.1202166064981949
candidate_v2,comfort_rating,fold_0,p01,t001,6.5,6.9,0.40000000000000036
candidate_v2,comfort_rating,fold_0,p01,t002,6.1,6.9,0.8000000000000007
candidate_v2,comfort_rating,fold_0,p02,t003,5.8,6.9,1.1000000000000005
candidate_v2,comfort_rating,fold_1,p03,t004,6.9,6.1551302089309194,0.7448697910690809
acoustic_only,masking_effectiveness_rating,fold_0,p01,t001,5.9,5.1,0.8000000000000007
acoustic_only,masking_effectiveness_rating,fold_0,p01,t002,6.2,5.1,1.1000000000000005
acoustic_only,masking_effectiveness_rating,fold_0,p02,t003,5.6,5.1,0.5
acoustic_only,masking_effectiveness_rating,fold_1,p03,t004,5.1,11.353571428570973,6.253571428570973
modulation_only,masking_effectiveness_rating,fold_0,p01,t001,5.9,5.1,0.8000000000000007
modulation_only,masking_effectiveness_rating,fold_0,p01,t002,6.2,5.1,1.1000000000000005
modulation_only,masking_effectiveness_rating,fold_0,p02,t003,5.6,5.1,0.5
modulation_only,masking_effectiveness_rating,fold_1,p03,t004,5.1,5.3439840134623475,0.24398401346234788
legacy_v1,masking_effectiveness_rating,fold_0,p01,t001,5.9,5.1,0.8000000000000007
legacy_v1,masking_effectiveness_rating,fold_0,p01,t002,6.2,5.1,1.1000000000000005
legacy_v1,masking_effectiveness_rating,fold_0,p02,t003,5.6,5.1,0.5
legacy_v1,masking_effectiveness_rating,fold_1,p03,t004,5.1,5.364981949458484,0.26498194945848397
candidate_v2,masking_effectiveness_rating,fold_0,p01,t001,5.9,5.1,0.8000000000000007
candidate_v2,masking_effectiveness_rating,fold_0,p01,t002,6.2,5.1,1.1000000000000005
candidate_v2,masking_effectiveness_rating,fold_0,p02,t003,5.6,5.1,0.5
candidate_v2,masking_effectiveness_rating,fold_1,p03,t004,5.1,5.638198840906368,0.538198840906368
